Ticker,Current Ratio,Current ROA (TTM),Current ROI (TTM),Current ROE (TTM),Price/Cash Flow,PEG Ratio,P/E (Trailing 12 Months),5 Yr Historical Sales Growth,Annual Sales,Long Term Debt ,Book Value,Net Margin,5 Yr Hist. Div. Growth %,Dividend ,Cash Flow ,Net Income ,EBITDA ,5 Yr. Hist. EPS Growth,Beta,52 Week High,Last Close,Shares Outstanding ,12 Mo Trailing EPS,% Rating Hold,% Rating Strong Sell or Sell,% Rating Strong Buy or Buy,Market Cap 
A,3.35,12.11,17.13,25.38,11.36,1,13.97,2.87,6615,1932,12.92,0.15,,0,1298,1012,1371,11.51,1.52,52.58,42.47,347.63,3.04,0,0,100,14763.64
AA,1.28,2.01,3.01,4.45,4.6,1.68,18.68,-8.6,24951,8640,16.1,0.02,-39.396,0.11999,2293,611,3068,-31.58,2.07,17.67,9.9,1066.1,0.53,37.5,18.75,43.75,10554.35
AAAAD,,,,,,,,,,,,,,0,,,,,-0.51,4.4,0.61,5.58,,,,,3.41
AAC,6.5,,,,,,,,,0,7.63,,,0,-0.23001,-0.23001,-0.23001,,-0.01,9.99,9.92,8.53,,,,,84.65
AACAY,,,,,,0.8,,,322.98,0,,,57.256,0.50755,115.063,89.38999,124.08,,0.07,30.8,30.8,122.8,,50,0,50,3782.24
AACC,1.8,3.68,10.67,10.68,7.56,0.81,10.67,-6.59,218.08,0.21999,4.5,0.06,,0,19.93,12.02,37.61,-46.94,1.95,5.92,4.91,30.68,0.46,50,0,50,150.66
AAIIQ,,,,,,,,,,,,,,0,,,,,1.13,0.25,0.023,4.13,,,,,0.1
AAIR,0.39,-4.43,,,,,,6.63,149,8.18999,-1.78,-0.07,,0,-6.186,-10.77001,-1.60001,,0.55,2.3,0.95,26.49,-0.25,,,,25.17
AAME,0.28,1.15,3.3,3.68,4.59,,22.31,-8.12,118.33,41.22999,4.29,0.03,,0,14.14999,3.28999,16.76,-4.79,1.08,2.98,2.9,21.27,0.13,,,,61.69
AAMRQ,0.78,-4.19,-25.48,,,,,-0.46,23979,6702,-21.21,-0.08,,0,-14,-1979,-67,,1.48,6.73,0.498,335.27,-3.16,50,25,25,166.96
AANI,,,,,,,,,,,,,,0,,,,,1.24,0,0.0002,377.21,,,,,0.08
AAON,2.18,7.79,11.47,11.47,18.19,,33.26,-0.58,266.22,0,4.97,0.05,5.52169,0.23999,25.53599,13.97999,33.33,-1.75,0.97,23.84,18.85,24.57,0.57,100,0,0,463.22
AAP,1.05,10.88,29.88,48.22,11.38,1.05,17.51,6.36,6170.46,415.13,11.7,0.06,0,0.23999,570.622,394.67999,840.10998,18.94,0.52,90.51,89.66,72.93,5.12,66.67,0,33.33,6538.46
AAPJ,,,,,,,,,,,,,,0,,,,,-1.31,0.04,0.0051,4.99,,,,,0.03
AAPL,1.58,28.89,44.35,44.35,20.93,0.69,17.83,42.3,108249,0,96.89,0.24,,0,27736,25922,36019,61.62,1.26,636.23,626.2,932.37,35.11,5.26,0,94.74,583850.13
AASP,0.01,-94.85,,,,,,-3.22,2.12,0.01999,-2.27,-0.33,,0,-0.48,-0.69,0.00999,,1.67,0.4,0.22,4.52,-0.17,,,,0.99
AAT,0.19,0.01,0.03,0.03,14.3,2.77,20.49,,209.82,0,17.3,0.1,,0.8,62.45299,21.78,132.30999,,0.15,23.54,22.74,39.28,1.11,0,0,100,893.34
AAU,55.17,16.66,16.92,16.92,17.34,,,,0.23,0,0.93,,,0,7.65,7.38,7.63,,0.98,5.12,2.29,59.12,-0.07,,,,135.39
AAUKY,2.36,,,,8.37,-2.34,,,21327.44,11855,16.32,0.37,-17.865,0.3,5538.30175,7922,13444,,1.82,26.07,17.52,2654.34,,20,0,80,46504.07
AAV,0.34,-7.51,-9.33,-11.5,261.18,,,-8.49,355.72,312.26998,7.54,-0.41,,0,1.802,-147.15,-19.17001,,1.84,8.55,2.83,166.57,-0.91,50,16.67,33.33,471.4
AAWW,1.44,4.87,6.49,9.28,8.29,0.87,12.04,-4.08,1398.22,680,43.4,0.07,,0,147.742,96.08,210.42999,8.68,2.43,68.91,46.58,26.31,3.87,33.33,0,66.67,1225.29
AB,1.01,4.67,7.63,8.16,2.12,2.17,12.73,-10.94,2749.89,444.89999,38.24,-0.06,-29.52701,1.44,712.88299,-174.76,389.33999,-25.5,1.73,22.62,14.39,105.17,1.13,50,50,0,1513.44
ABAT,,,,,0.75,,0.92,,97.13,0,,,,0,42.55599,36.72,49.81,,0.74,2.15,0.415,76.14,0.45,,,,31.6
ABAX,6.89,6.5,7.3,7.33,31.65,1.94,52.02,12.83,143.68,0.74,7.08,,,0,19.617,14.52999,28.64999,3.37,1.14,31.44,27.57,21.69,0.53,44.44,0,55.56,597.99
ABB,1.44,8.22,17.27,19.71,10.4,1.1,13.77,5.08,37990,3231,7.08,0.08,39.45999,0.62999,4339.8999,3168,5752,2.45,1.5,27.49,19.55,2314.74,1.42,33.33,0,66.67,45253.23
ABC,1.06,4.69,16.44,23.45,12.52,1.06,14.91,5.26,80217.55,972.85998,11.24,0.01,42.46599,0.43,834.208,706.61999,1333.30004,18.5,0.7,43.09,38.78,257.83,2.6,18.18,0,81.82,9998.8
ABCB,0.92,0.11,0.99,1.43,32.67,2.05,,2.99,193.88,62.25999,10.23,0.11,-57.571,0,9.52299,21.09,39.84999,-55.33,1.39,13.4,13.1,23.75,0,50,0,50,311.14
ABCC,,,,,,,,,,,,,,0,,,,,0.53,0.01,0.008,8.02,,,,,0.06
ABCD,1.72,-3.04,-3.94,-10.38,5.27,,,14.5,172.26,186.44999,1.82,-0.29,,0,24.71699,-49.44,6.26999,,1.92,3.62,2.63,49.56,-0.25,0,0,100,130.35
ABCO,0.88,5.08,17.18,17.18,39.82,1.99,50.38,11.18,290.25,0,11.89,,,0,34.09299,18.52,39.88,-3.6,0.55,89.56,85.65,16.67,1.7,28.57,0,71.43,1427.87
ABCP,34.59,-17.84,-18.14,-18.14,,,,,,0,0.23,,,0,-1.85301,-1.89,-1.8,,-0.84,1.8,1.65,43.08,-0.04,,,,71.07
ABCW,1.06,-1.59,-9.26,,,,,-12.49,222.33,654.77001,-5.53,,,0,-33.88801,-41.17,-1.01,,2.51,1,0.88,21.68,-3.04,,,,19.08
ABD,2.04,3.34,5.69,,8.34,1.4,18.27,-10,1318.4,668.79998,-1.11,0.04,,0,78,56.7,161.19999,-19.41,3.86,13.01,11.69,55.56,0.64,0,0,100,649.44
ABFIQ,,,,,,,,,,,,,,0,,,,,5.87,0.03,0.01,3.6,,,,,0.04
ABFS,1.69,0.77,1.32,1.44,5.83,1.09,74.12,-1.6,1907.61,46.75,18.32,0,-38.072,0.11999,80.813,6.15,87.41,-53.11,1.44,26.9,18.53,25.45,0.25,60,6.67,33.33,471.57
ABG,1.25,4.34,7.39,18.97,9.51,0.58,14.85,-8.55,4276.7,439.1,10.28,0.02,,0,91.3,67.9,164.3,-5.26,2.7,28.62,27.33,31.57,1.84,37.5,0,62.5,862.73
